sentence,intent
"fetch the small red glass spoon from table two and put it on assembly table",pick_and_place
"place the blue cube on mat",place_object
"bring the medium white round tool from right shelf and place it on basket",pick_and_place
"take the small red apple",pick_object
"drop the yellow can on drop tray",place_object
"set the red packet on assembly table",place_object
"grab the tiny gray screwdriver",pick_object
"go to table one",go_to_location
"fetch the small gray box",pick_object
"navigate to tool stand",go_to_location
"take the big yellow jar",pick_object
"put the orange remote on assembly table",place_object
"find the medium orange plate near drawer",search_object
"go to bottom rack",go_to_location
"navigate to storage bin",go_to_location
"find the small blue tool near top rack",search_object
"put the black can on target box",place_object
"take the big blue box",pick_object
"go to bottom rack",go_to_location
"go to bottom rack",go_to_location
"place the green can on inspection zone",place_object
"grab the tiny blue plastic can from tray one and drop it on basket",pick_and_place
"take the tiny yellow light spoon from bin a and put it on holder",pick_and_place
"put the gray plate on tray two",place_object
"put the gray screwdriver on packing area",place_object
"move to storage bin",go_to_location
"go to top rack",go_to_location
"bring the small orange glass bottle from zone a and place it on station three",pick_and_place
"pick the tiny yellow light jar from zone a and put it on center table",pick_and_place
"take the small white ball",pick_object
"set the gray wrench on assembly table",place_object
"pick the large green box",pick_object
"put the black jar on target box",place_object
"set the red apple on carton",place_object
"navigate to bottom rack",go_to_location
"go to crate",go_to_location
"navigate to table one",go_to_location
"locate the tiny purple packet near tool stand",search_object
"go to workbench",go_to_location
"take the small black round screwdriver from station two and set it on container",pick_and_place
"fetch the tiny blue square packet from bin b and put it on mat",pick_and_place
"drop the brown mug on holder",place_object
"find the big blue jar near table two",search_object
"go to storage bin",go_to_location
"set the brown ball on container",place_object
"bring the small green mug",pick_object
"look for the large white tool near drawer",search_object
"fetch the small yellow square cup from tool stand and set it on packing area",pick_and_place
"move to right shelf",go_to_location
"navigate to loading bay",go_to_location
"go to bin a",go_to_location
"fetch the small red metal block from tray one and place it on inspection zone",pick_and_place
"grab the big gray plate",pick_object
"take the big gray cup",pick_object
"bring the tiny black spoon",pick_object
"move to tray one",go_to_location
"drop the gray tool on mat",place_object
"fetch the tiny blue plastic box from left shelf and set it on mat",pick_and_place
"put the brown bottle on basket",place_object
"place the red marker on bin d",place_object
"take the tiny orange light jar from table two and set it on bin c",pick_and_place
"place the blue wrench on bowl",place_object
"search for the large purple bottle near tool stand",search_object
"set the orange spoon on packing area",place_object
"go to table one",go_to_location
"locate the medium black can near top rack",search_object
"locate the medium black wrench near top rack",search_object
"go to table one",go_to_location
"take the medium red mug",pick_object
"pick the medium brown glass apple from top rack and place it on output bin",pick_and_place
"look for the big gray cube near table one",search_object
"pick the tiny white heavy remote from table one and set it on assembly table",pick_and_place
"put the red plate on target box",place_object
"navigate to station one",go_to_location
"bring the tiny orange metal marker from top rack and drop it on assembly table",pick_and_place
"find the large orange mug near station one",search_object
"navigate to tool stand",go_to_location
"drop the brown cube on output bin",place_object
"fetch the big gray can",pick_object
"put the brown ball on center table",place_object
"navigate to bin a",go_to_location
"bring the big yellow book",pick_object
"locate the large red remote near tray one",search_object
"bring the tiny blue cup",pick_object
"go to top rack",go_to_location
"navigate to bottom rack",go_to_location
"take the small yellow marker",pick_object
"navigate to zone a",go_to_location
"place the red packet on packing area",place_object
"move to bin b",go_to_location
"go to table one",go_to_location
"move to station one",go_to_location
"grab the large red metal can from kitchen counter and set it on holder",pick_and_place
"fetch the medium brown wooden spoon from tool stand and place it on inspection zone",pick_and_place
"locate the big purple ball near table two",search_object
"take the big red square wrench from station two and put it on bowl",pick_and_place
"pick the big purple tool",pick_object
"locate the large white remote near zone b",search_object
"bring the big red heavy block from zone a and put it on packing area",pick_and_place
"bring the medium gray fragile wrench from zone b and drop it on bin c",pick_and_place
"bring the medium green light plate from bin a and drop it on bin d",pick_and_place
"place the purple marker on target box",place_object
"move to bin b",go_to_location
"take the small purple bottle",pick_object
"locate the small yellow tool near bin a",search_object
"move to table two",go_to_location
"move to bin a",go_to_location
"locate the large blue ball near bin a",search_object
"go to left shelf",go_to_location
"go to tray one",go_to_location
"put the purple spoon on shelf two",place_object
"fetch the tiny red cube",pick_object
"grab the big purple plate",pick_object
"put the white box on basket",place_object
"move to workbench",go_to_location
"locate the small gray mug near bottom rack",search_object
"bring the small white bottle",pick_object
"fetch the medium blue fragile remote from bin b and set it on desk",pick_and_place
"find the small white plate near tool stand",search_object
"pick the large blue round jar from drawer and set it on mat",pick_and_place
"search for the medium orange banana near station two",search_object
"grab the small green round cup from zone a and drop it on bin c",pick_and_place
"bring the big yellow metal remote from top rack and drop it on bin d",pick_and_place
"locate the big black jar near right shelf",search_object
"search for the large orange cube near tray one",search_object
"fetch the big green mug",pick_object
"locate the big blue block near tray one",search_object
"set the brown packet on assembly table",place_object
"bring the big orange apple",pick_object
"find the large yellow marker near kitchen counter",search_object
"fetch the medium gray light wrench from top rack and put it on bin d",pick_and_place
"locate the small green spoon near zone a",search_object
"fetch the medium yellow can",pick_object
"fetch the big green light apple from tray one and drop it on basket",pick_and_place
"fetch the medium white box",pick_object
"fetch the big green can",pick_object
"go to tray one",go_to_location
"fetch the small green light jar from bin b and drop it on shelf two",pick_and_place
"fetch the medium black wrench",pick_object
"go to table two",go_to_location
"drop the black apple on bin d",place_object
"set the gray banana on drop tray",place_object
